homelat,homelon,n
48.9226,24.7111,5295
49.9935,36.2304,4381
46.6354,32.6169,242
49.423,26.9871,1257
50.4501,30.5234,8992
50.053000000000004,30.7667,3980
48.5079,32.2623,713
48.574,39.3078,135
49.8397,24.0297,10420
46.975,31.9946,666
46.4846,30.7326,3748
49.5883,34.5514,477
50.6199,26.2516,6538
44.6054,33.522,360
50.9077,34.7981,594
49.5535,25.5948,3177
49.2331,28.4682,2898
50.7472,25.3254,4108
48.6208,22.2879,5539
47.8388,35.1396,890
50.2547,28.6587,2036
47.1625,19.5033,4597
47.1660,9.5554,89
51.9194,19.1451,49515
33.8869,9.5375,1642
31.9522,35.2332,13398
43.9159,17.6791,13396
46.1512,14.9955,2223
-30.5595,22.9375,538184
27.5142,90.4336,108
3.8480,11.5021,17718
9.7489,-83.7534,21070
-5.077253,-78.050172,6470
-9.407125,-77.67179499999997,13013
-14.027713,-72.975378,1068
-15.843523999999999,-72.475539,16500
-14.091648000000001,-74.08344,4352
-6.4302839999999994,-78.74559599999998,7277
-11.954609,-77.136042,22131
-13.191068,-72.153609,5520
-13.023888000000001,-75.00277,2003
-9.421676,-76.040642,7254
-14.235097,-75.574821,13894
-11.541783,-74.876968,8637
-7.92139,-78.370238,16392
-6.3530489999999995,-79.824113,17977
-11.766533,-76.60449799999998,230817
-4.124847,-74.424115,12081
-11.972699,-70.53171999999998,3700
-16.860271,-70.839046,3670
-10.39655,-75.307635,2225
-5.133361,-80.335861,21871
-14.995826999999998,-69.922726,2860
-7.039531,-76.729127,9460
-17.644160999999997,-70.27756,3522
-3.857496,-80.54525500000003,4423
-9.621718,-73.444929,10507
null,null,0
44.0165,21.0059,27332
48.6690,19.6990,2480
8.6195,0.8248,1012
41.9029,12.4534,12
35.9375,14.3754,946
42.7339,25.4858,13014
3.2028,73.2207,4680
23.6850,90.3563,249651
47.4116,28.3699,26628
-23.4425,-58.4438,6375
41.1533,20.1683,6016
35.1264,33.4299,1208
4.5353,114.7277,141
12.2383,-1.5616,1158
46.8625,103.8467,293
8.5380,-80.7821,71418
23.7000,121.0000,477
-16.2902,-63.5887,86423
15.2000,-86.2419,45755
-4.0383,21.7587,9309
18.1096,-77.2975,958
38.9637,35.2433,237265
21.5218,-77.7812,2775
4.8604,-58.9302,538
48.0196,66.9237,96922
9.1450,40.4897,20900
12.8628,30.2176,11780
9.9456,-9.6966,7664
17.0608,-61.7964,92
-0.0236,37.9062,24411
-32.5228,-55.7658,1318
7.9465,-1.0232,39642
-22.9576,18.4904,2652
-4.6796,55.4920,126
10.6918,-61.2225,210
6.4238,-66.5897,23280
-26.5225,31.4659,2968
-0.8037,11.6094,7787
15.7835,-90.2308,54339
21.0079,-10.9408,6444
-1.9403,29.8739,2111
13.9094,-60.9789,25
12.9843,-61.2872,56
3.9193,-56.0278,2096
42.6026,20.9030,9688
6.6111,20.9394,4620
-1.4400,15.5560,3546
1.6508,10.2679,4821
41.3775,64.5853,28315
9.3077,2.3158,1936
6.4281,-9.4295,1224
5.1521,46.1996,3227
-6.3690,34.8888,509
24.2500,-76.0000,761
13.1939,-59.5432,133
42.7087,19.3744,3480
13.4667,-16.6000,935
41.2044,74.7661,38659
-20.3484,57.5522,344
-13.1339,27.8493,7164
11.8251,42.5903,5330
15.4542,18.7322,942
13.7942,-88.8965,19126
-17.7134,178.0650,27
12.8654,-85.2072,3902
-18.7669,46.8691,12526
18.9712,-72.2852,7582
-11.2027,17.8739,1483
15.1111,-23.6167,2734
17.6078,8.0817,1153
-6.3150,143.9555,163
-19.0154,29.1549,4339
-8.5500,125.5600,25
15.1794,39.7823,282
1.3733,32.2903,1223
15.4150,-61.3710,18
12.1165,-61.6790,24
-18.6657,35.5296,2120
34.8021,38.9968,999
13.1939,-59.5432,114
19.856270000000002,102.495496,20
