homelat,homelon,n
33.8547,35.8623,5672
-29.609988,28.233608,742
6.4281,-9.4295,1224
26.3351,17.228331,4879
47.1660,9.5554,89
55.1694,23.8813,2171
49.8153,6.1296,7073
0.0,0.0,9
-18.7669,46.8691,12526
-13.254307999999998,34.301525,4491
4.2105,101.9758,9038
3.2028,73.2207,4680
17.570692,-3.996166000000001,2552
35.9375,14.3754,946
21.0079,-10.9408,6444
-20.3484,57.5522,344
47.4116,28.3699,26628
43.7384,7.4246,125
46.8625,103.8467,293
42.7087,19.3744,3480
31.7917,-7.0926,29644
-18.6657,35.5296,2120
-22.9576,18.4904,2652
28.3949,84.1240,21750
-40.9006,174.8860,1569
12.8654,-85.2072,3902
17.6078,8.0817,1153
9.0820,8.6753,45244
41.6086,21.7453,11399
60.4720,8.4689,9468
21.4735,55.9754,80713
8.5380,-80.7821,71418
-6.3150,143.9555,163
-23.4425,-58.4438,6375
12.8797,121.7740,119460
51.9194,19.1451,49515
39.3999,-8.2245,52061
25.3548,51.1839,112092
45.9432,24.9668,57895
-1.9403,29.8739,2111
17.357822,-62.782998,17
13.9094,-60.9789,25
12.9843,-61.2872,56
43.9424,12.4578,699
0.18636,6.613081,878
23.8859,45.0792,284226
14.4974,-14.4524,10715
44.0165,21.0059,27332
-4.6796,55.4920,126
8.460555000000001,-11.779889,1877
1.3521,103.8198,54555
48.6690,19.6990,2480
46.1512,14.9955,2223
5.1521,46.1996,3227
-30.5595,22.9375,538184
6.8770000000000024,31.307,2450
7.8731,80.7718,2839
12.8628,30.2176,11780
3.9193,-56.0278,2096
46.8182,8.2275,36108
34.8021,38.9968,999
23.7000,121.0000,477
38.861034000000004,71.276093,7665
-6.3690,34.8888,509
15.8700,100.9925,3330
-8.5500,125.5600,25
8.6195,0.8248,1012
10.6918,-61.2225,210
33.8869,9.5375,1642
38.9637,35.2433,237265
1.3733,32.2903,1223
23.4241,53.8478,61845
-32.5228,-55.7658,1318
41.3775,64.5853,28315
6.4238,-66.5897,23280
14.0583,108.2772,750
31.9522,35.2332,13398
24.2155,-12.8858,10
15.552726999999999,48.516388,1768
-13.1339,27.8493,7164
-19.0154,29.1549,4339
null,null,0
37.6489,-122.6655,13
